Frequency,Normalized word,Relative Frequency
22038615,THE,0.0659312688305584
12545825,BE,0.037532402139433006
10741073,AND,0.03213326116417263
10343885,OF,0.030945023663573257
10144200,A,0.03034764105053564
6996437,IN,0.02093071496112916
6332195,TO,0.018943552071331058
4303955,HAVE,0.01287581883614855
3978265,I,0.011901476530816543
3872477,IT,0.011584998518607195
3856916,TO,0.011538445843937198
3430996,THAT,0.010264252977447564
3281454,FOR,0.00981687941048524
3081151,YOU,0.009217647973275265
2909254,HE,0.008703396632246507
2683014,WITH,0.00802657142067012
2573587,DO,0.007699206885542958
2485306,ON,0.007435103250009121
1915138,SAY,0.005729374478642054
1885366,THIS,0.005640307822882453
1865580,THEY,0.005581115533118262
1820935,WE,0.005447554440602228
1801708,HIS,0.005390034469142807
1776767,BUT,0.005315420353151265
1767638,AT,0.0052881098096731844
1712406,THAT,0.005122876384612245
1638830,NOT,0.00490276459285595
1635914,FROM,0.004894041014722301
1619007,N'T,0.004843461612971407
1490548,BY,0.004459160473235326
1484869,SHE,0.004442171035573806
1379320,OR,0.004126408021709432
1296879,AS,0.0038797754754418892
1181023,WHAT,0.0035331777839974323
1151045,GO,0.003443494853513712
1083029,THEIR,0.003240016496058887
1022775,CAN,0.0030597591308788854
1018283,WHO,0.0030463207519432368
992596,GET,0.0029694748837954177
969591,HER,0.0029006525535606458
933542,IF,0.002792807468464654
925515,WOULD,0.0027687936955981245
919821,MY,0.002751759383563489
892535,KNOW,0.0026701299072415595
892102,ALL,0.0026688345336709596
874406,ABOUT,0.0026158947398941925
857168,MAKE,0.002564325110309885
829018,AS,0.0024801108700965037
824568,WILL,0.0024667981394055787
795534,UP,0.002379939302803259
784528,THERE,0.0023470134794359955
772787,THINK,0.0023118888117860735
769254,YEAR,0.002301319401104941
768232,ONE,0.00229826196048334
764657,TIME,0.002287566901557484
756550,SO,0.0022633137987010054
709623,ME,0.0021229258182216687
691468,PEOPLE,0.0020686128686275684
685982,WHICH,0.002052200814566801
678626,WHEN,0.0020301944219909703
678603,OUT,0.00203012561461886
677870,THEM,0.0020279327535859502
677711,JUST,0.002027457085230926
677707,HIM,0.0020274451187314285
674193,SOME,0.0020169325489229092
670745,TAKE,0.002006617426356098
668172,INTO,0.001998919975554356
663645,SEE,0.0019853768897481047
659622,YOUR,0.0019733415828785336
628254,COME,0.0018795002938194454
617932,COULD,0.0018486207418662477
605997,NOW,0.0018129156989906987
579757,THAN,0.0017344154622873555
568850,LIKE,0.001701785809782654
547799,OTHER,0.0016388091145523918
543977,THEN,0.0016273751242825679
539719,ITS,0.0016146367855675208
538893,HOW,0.0016121657034212952
525107,OUR,0.0015709231629032962
517536,MORE,0.0015482735709794772
514972,WANT,0.001540603044801605
513864,THESE,0.0015372883244408081
511027,TWO,0.001528801084672234
491707,LOOK,0.0014710028920994981
470401,WAY,0.0014072633325262728
464606,ALSO,0.0013899268663793262
463566,FIRST,0.0013868155765099865
438539,BECAUSE,0.0013119441807792481
435993,NEW,0.0013043275038491142
432773,DAY,0.0012946944717536584
420781,USE,0.0012588189062602707
420170,MORE,0.0012569910234620334
412315,HERE,0.0012334918100738947
411776,WELL,0.0012318793242666118
409760,MAN,0.0012258482085198915
402222,NO,0.0012032973402169266
400724,THING,0.0011988158861551274
397950,HER,0.0011905171187536383
395203,FIND,0.001182299125223757
391821,VERY,0.001172181449898654
388155,TELL,0.001161214153109231
385348,MANY,0.0011528166620868878
384503,GIVE,0.0011502887390680493
379574,ONLY,0.001135543020062303
378007,THOSE,0.0011308551438841729
369553,ONE,0.0011055639471962892
367844,BACK,0.001100451260285999
361067,EVEN,0.001080177018512426
353973,GOOD,0.0010589544316536791
351088,US,0.0010503235938911354
348100,ANY,0.0010413846187665322
341422,WOMAN,0.0010214065478555212
340921,THROUGH,0.0010199077437934643
333849,CHILD,0.0009987509726819535
333433,THERE,0.0009975064567342175
333085,LIFE,0.0009964653712779385
329409,DOWN,0.000985468158239772
324569,MAY,0.0009709886938478443
318210,WORK,0.0009519649512717559
311902,AFTER,0.0009330937815642601
310265,SHOULD,0.0009281964916449243
308050,CALL,0.0009215700425482053
304183,SCHOOL,0.0009100014291590349
303506,WORLD,0.0009079760991190897
300349,OVER,0.0008985315393907188
296953,STILL,0.0008883719813173745
294023,TRY,0.0008796065204354843
289843,LAST,0.0008671015284606378
285035,IN,0.0008527177960646898
284632,ASK,0.0008515121712403207
281483,AS,0.0008420915445109446
280396,TOO,0.0008388396482725095
276744,NEED,0.0008279142342313278
275214,FEEL,0.000823337048173549
272193,STATE,0.0008142993494280917
268219,WHEN,0.0008024106321773643
266744,THREE,0.0007979979854876756
264158,BETWEEN,0.0007902616435625672
263414,REALLY,0.0007880358746560394
262584,NEVER,0.0007855528260103163
259102,BECOME,0.0007751359881977766
255936,HIGH,0.0007656645038455364
255047,STUDENT,0.0007630049493322256
254910,SOMETHING,0.0007625950967244376
246360,MOST,0.000737016704048615
244507,MUCH,0.0007314732231564163
243267,FAMILY,0.0007277636083122034
242443,OUT,0.0007252985094157265
242198,MEAN,0.000724565561321507
240646,ANOTHER,0.0007199225595164922
240482,LEAVE,0.0007194319330370962
240452,OWN,0.0007193421842908653
240300,LET,0.0007188874573099618
237480,PUT,0.0007104510751642518
236980,ON,0.0007089552627270693
236577,OLD,0.0007077496379027001
235442,WHY,0.0007043541436702955
234555,WHILE,0.0007017005724067336
231760,KEEP,0.0006933389808828828
229435,GROUP,0.0006863834530499837
229429,TALK,0.0006863655033007375
227169,BIG,0.0006796044310846721
225247,HAND,0.0006738545280761422
225005,GREAT,0.0006731305548565458
223138,COUNTRY,0.000667545191216106
222836,SAME,0.0006666417205040476
221392,TURN,0.0006623218141854643
219627,SEEM,0.0006570415962822096
218617,BEGIN,0.0006540200551591008
217728,PROBLEM,0.0006513605006457901
216082,HELP,0.000646436286102585
214968,AMERICAN,0.0006431036159925421
213952,START,0.0006400641251201871
213744,WHERE,0.0006394418671463191
212739,EVERY,0.0006364352841475821
209059,MIGHT,0.0006254261046099181
208550,ABOUT,0.0006239033675488661
208260,OVER,0.0006230357963353002
208037,SHOW,0.0006223686639883168
207861,PART,0.0006218421380104284
207065,SUCH,0.0006194608046104338
206895,AGAIN,0.0006189522283817916
205250,RIGHT,0.0006140310054634609
204379,AGAINST,0.0006114253001978888
203345,COMPANY,0.0006083319600777952
202427,PLACE,0.0006055856484431279
200773,CASE,0.0006006375009009278
200175,SYSTEM,0.0005988485092260574
199268,WEEK,0.0005961351054650082
197266,FEW,0.000590145872466529
197086,MOST,0.0005896073799891433
196522,EACH,0.0005879201035600013
196070,HEAR,0.0005865678891167882
195985,PROGRAM,0.0005863136010024672
194427,WHERE,0.0005816526494482061
192070,QUESTION,0.0005746013896193274
191893,SO,0.0005740718720165648
191314,GOVERNMENT,0.0005723397212143072
190729,DURING,0.0005705896206628036
188555,MR,0.0005640858281859337
188328,PLAY,0.0005634067293394527
187533,WORK,0.0005610283875643324
187325,RUN,0.0005604061295904644
186005,NUMBER,0.0005564571847563023
185463,SMALL,0.0005548357240743963
184511,NIGHT,0.0005519876971940007
183854,OFF,0.0005500221996515427
183724,TODAY,0.0005496332884178752
182714,HAPPEN,0.0005466117472947663
182341,LIKE,0.0005454958712166281
179474,ALWAYS,0.000536918882701823
179388,MOVE,0.0005366616029626277
178397,BELIEVE,0.0005336969027121317
177481,POINT,0.0005309565743272131
177368,HOLD,0.0005306185207164099
177317,ALL,0.0005304659478478173
176895,MILLION,0.0005292034821508352
176306,NEXT,0.0005274414150998341
176144,LIVE,0.0005269567718701869
175611,LARGE,0.0005253622358121502
174366,BRING,0.0005216376628435656
174069,STUDY,0.0005207491502558791
172769,BEFORE,0.0005168600379192043
172472,ROOM,0.0005159715253315178
172448,WITHOUT,0.000515899726334533
171043,MUST,0.0005116964933860499
170527,HOME,0.0005101528149508774
169570,LOT,0.00050728982994611
169407,MOTHER,0.0005068021950915884
169150,EYE,0.0005060333474988766
167666,WATER,0.0005015937761853185
166359,NATIONAL,0.0004976837224745232
165812,AREA,0.0004960473036682455
164794,MONEY,0.0004930018295461417
164766,UNDER,0.0004929180640496594
164401,FACT,0.0004918261209705162
163582,STORY,0.0004893759801984111
163259,RIGHT,0.000488409685363991
162685,MONTH,0.00048669249268610545
162411,DIFFERENT,0.00048587278747052936
161824,WRITE,0.00048411670366927697
160131,HEAD,0.00047905188275697665
160011,YOUNG,0.00047869288777205283
157364,YES,0.0004707740567296081
156417,ISSUE,0.00046794098797358426
155032,KIND,0.0004637975875225884
154743,JOB,0.0004629330079338969
154468,BUSINESS,0.0004621103110934464
154013,BOOK,0.00046074912177561026
152891,WORD,0.00045739251866657246
152559,SIDE,0.0004563992992082832
152182,THOUGH,0.00045527145663064756
150879,PROVIDE,0.0004513733694193497
150718,BLACK,0.00045089171781457685
150646,FOUR,0.00045067632082362256
149658,LITTLE,0.00044772059544774973
149251,HOUSE,0.0004465030041238831
149050,LONG,0.00044590168752413567
148621,FAR,0.000444618280453033
147185,SIT,0.00044032230713344453
146338,BOTH,0.0004377884008648572
146311,GAME,0.00043770762699324933
146122,SERVICE,0.0004371422098919943
